segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[c|t|ʈ] [ɕ|ʑ]	-strid,-voice +strid,-back	0.0021	17893	85286	28480	0.0
[b|c|d|f|g|k|p|s|t|x|z|ɕ|ɖ|ɟ|ʂ|ʈ|ʐ|ʑ] [f|j|l|r|s|v|w|x|z|ɕ|ʂ|ʐ|ʑ]	-son +cont	0.0021	117661	350952	299444	0.0
[c|ʈ] [f|l|r|s|x|z|ɕ|ʂ|ʐ|ʑ]	-ant,-strid,-voice +cons,+cont	0.0021	28615	28615	217317	0.0
[b|c|d|f|g|k|l|m|n|p|r|s|t|x|z|ɕ|ɖ|ɟ|ɲ|ʂ|ʈ|ʐ|ʑ] [b|c|d|f|g|j|k|l|m|n|p|r|s|t|v|w|x|z|ɕ|ɖ|ɟ|ɲ|ʂ|ʈ|ʐ|ʑ]	+cons -syll	0.0021	194465	496574	578701	0.0
[c|ɟ|ɲ] [j|ɕ|ʑ]	-back,-cont +cont,-back	0.0021	19848	45531	65790	0.0
[c|ɕ] [ɕ|ʂ]	-back,-voice +strid,-ant,-voice	0.0021	17756	43037	55732	0.0
[c|ɕ|ʂ|ʈ] [ɕ|ʑ]	-ant,-voice +strid,-back	0.0021	17761	84347	28480	0.0
[c|k|p|t|ʈ] [ɕ|ʂ|ʐ|ʑ]	-cont,-voice +strid,-ant	0.0021	36411	152638	66430	0.0
[c|ɟ|ɲ] [ɕ|ʂ|ʐ|ʑ]	-back,-cont +strid,-ant	0.0021	19862	45531	66430	0.0
[c|j|ɕ|ɟ|ʑ] [c|ɕ|ɟ|ʑ]	-ant,-back -back,-son	0.0021	23209	85638	48328	0.0
[c|k|p|t|ʈ] [f|j|l|r|s|v|w|x|z|ɕ|ʂ|ʐ|ʑ]	-cont,-voice +cont	0.0021	77123	152638	299444	0.0
[c|ɖ|ɟ|ʈ] [c|d|s|t|z|ɕ|ɖ|ɟ|ʂ|ʈ|ʐ|ʑ]	-ant,-strid +cor,-son	0.0021	30974	30974	238242	0.0
