segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[c|s|s'|t|t'|ɬ'|ʃ|ʃ'] [s|s'|ɬ'|ʃ|ʃ']	+coronal,-sonorant,-voice +strident,-voice	0.0018	239	736	397	0.0
[c|t|t'|x] [k'|s'|t'|ɬ'|ʃ']	-sonorant,-strident,-voice +cg,-voice	0.0018	120	346	213	0.0
[c|t|t'|x] [c|k|k'|p|s|s'|t|t'|x|ɬ|ɬ'|ʃ|ʃ']	-sonorant,-strident,-voice -voice	0.0018	247	346	908	0.0
[t|ɬ] [k'|s'|t'|ɬ'|ʃ']	+anterior,-cg,-strident,-voice +cg,-voice	0.0018	121	354	213	0.0
[c|t|ɬ] [k'|s'|t'|ɬ'|ʃ']	+coronal,-cg,-strident,-voice +cg,-voice	0.0018	121	354	213	0.0
[c|k|p|t] [s|x|ɬ'|ʃ]	-cg,-continuant,-voice +continuant,-sonorant,-voice	0.0018	147	357	312	0.0
[c|t|t'|x] [c|k|k'|p|s|s'|t|t'|x|ɬ'|ʃ|ʃ']	-sonorant,-strident,-voice -sonorant,-voice	0.0018	239	346	854	0.0
[s|t] [c|s|s'|t|t'|ɬ'|ʃ|ʃ']	+anterior,-cg,-sonorant,-voice +coronal,-sonorant,-voice	0.0018	249	437	736	0.0
[c|d|s'|t|t'|ɟ|ʃ'] [s|s'|z|ɬ'|ʃ|ʃ'|ʒ]	+coronal,-continuant,-sonorant +strident	0.0018	296	699	651	0.0
[t|ɬ] [s'|ɬ']	+anterior,-cg,-strident,-voice +anterior,+cg,+strident	0.0018	68	354	68	0.0
[c|t|ɬ] [s'|ɬ']	+coronal,-cg,-strident,-voice +anterior,+cg,+strident	0.0018	68	354	68	0.0
[s|t] [c|s|s'|t|t'|ɬ|ɬ'|ʃ|ʃ']	+anterior,-cg,-sonorant,-voice +coronal,-voice	0.0018	257	437	790	0.0
[c|s'|t|t'|ʃ'] [s|s'|ɬ']	+coronal,-continuant,-voice +anterior,+strident,-voice	0.0018	130	431	205	0.0
[t|t'] [s'|t'|ʃ']	+anterior,-lateral,-strident,-voice +cg,+coronal,-continuant	0.0018	92	339	131	0.0
[c|t|t'] [s'|t'|ʃ']	-lateral,-strident,-voice +cg,+coronal,-continuant	0.0018	92	339	131	0.0
[c|k|p|t] [s'|ɬ']	-cg,-continuant,-voice +anterior,+cg,+strident	0.0018	68	357	68	0.0
[c|k|p|t] [k'|s'|t'|ɬ'|ʃ']	-cg,-continuant,-voice +cg,-voice	0.0017	120	357	213	0.0
[d|s'|t|t'|z] [s|s'|ɬ'|ʃ|ʃ']	+anterior,-lateral +strident,-voice	0.0017	239	760	397	0.0
[b|c|d|g|k|p|t|ɟ] [s|s'|z|ɬ'|ʃ|ʃ'|ʒ]	-cg,-continuant +strident	0.0017	296	711	651	0.0
[s|t] [s|s'|ɬ']	+anterior,-cg,-sonorant,-voice +anterior,+strident,-voice	0.0017	130	437	205	0.0
[c|k|p|t] [c|k|k'|p|s|s'|t|t'|x|ɬ|ɬ'|ʃ|ʃ']	-cg,-continuant,-voice -voice	0.0017	247	357	908	0.0
[c|k|p|t] [c|k|k'|p|s|s'|t|t'|x|ɬ'|ʃ|ʃ']	-cg,-continuant,-voice -sonorant,-voice	0.0017	239	357	854	0.0
[c|k|p|s|t|x|ʃ] [s'|ɬ'|ʃ']	-cg,-sonorant,-voice +cg,+strident	0.0017	120	641	120	0.0
