segs	ngram	insep	N(C1C2)	N(C1)	N(C2)	p(C1C2)
[l|d|j|t] [s|z]	-nasal,-strid +ant,+strid	0.0006	1293	13845	4329	0.0
[f|s|b|k|ʒ|ɡ|ʁ|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|ʒ|ɡ|ʁ|v|χ|h|z|ʃ|t|p|d]	-nasal,-lateral -nasal,-lateral	0.0006	5301	31791	31791	0.0
[f|s|b|k|l|ʒ|ɡ|w|ʁ|j|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|ʒ|ɡ|ʁ|v|χ|h|z|ʃ|t|p|d]	-nasal,-syllabic -nasal,-lateral	0.0006	5695	36723	31791	0.0
[f|s|b|k|l|ʒ|ɡ|w|ʁ|j|v|χ|h|z|ʃ|t|p|d] [f|s|l|ʒ|w|j|v|h|χ|z|ʃ|ʁ]	-nasal,-syllabic +cont,-syllabic	0.0006	4654	36723	21242	0.0
[f|s|b|k|l|ʒ|ɡ|ʁ|z|χ|h|ʃ|t|p|d] [f|s|b|k|ʒ|ɡ|ʁ|m|n|z|χ|h|ʃ|t|p|d]	-nasal,+cons +cons,-lateral	0.0006	5911	33322	37781	0.0
[f|s|b|k|l|ʒ|ɡ|w|ʁ|j|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|ʒ|ɡ|ʁ|m|n|z|χ|h|ʃ|t|p|d]	-nasal,-syllabic +cons,-lateral	0.0006	6203	36723	37781	0.0
[d|s|z|t] [s|z]	-son,+ant +ant,+strid	0.0006	1262	13277	4329	0.0
[f|s|b|k|ʒ|ɡ|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|ʁ|m|n|z|χ|h|ʃ|t|p|d]	-son +cons	0.0006	5558	27569	40605	0.0
[f|s|b|k|ʒ|ɡ|ʁ|m|n|v|χ|h|z|ʃ|t|p|d] [f|s|l|ʒ|w|j|v|h|χ|z|ʃ|ʁ]	-lateral +cont,-syllabic	0.0006	4785	39074	21242	0.0
[f|s|b|k|ʒ|ɡ|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|ʁ|z|χ|h|ʃ|t|p|d]	-son -nasal,+cons	0.0006	5033	27569	33322	0.0
[f|s|b|k|ʒ|ɡ|ʁ|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|ʒ|ɡ|ʁ|m|n|z|χ|h|ʃ|t|p|d]	-nasal,-lateral +cons,-lateral	0.0006	5754	31791	37781	0.0
[f|s|b|k|ʒ|ɡ|ʁ|z|χ|h|ʃ|t|p|d] [f|s|b|k|ʒ|ɡ|ʁ|v|χ|h|z|ʃ|t|p|d]	+cons,-nasal,-lateral -nasal,-lateral	0.0006	5165	30498	31791	0.0
[t] [f|s|ʃ|h|χ]	-strid,-voice +cont,-voice	0.0006	1396	7225	9805	0.0
[f|s|b|k|ʒ|ɡ|m|n|v|χ|h|z|ʃ|t|p|d] [f|s|l|ʒ|w|j|v|h|χ|z|ʃ|ʁ]	-approx +cont,-syllabic	0.0005	4511	34852	21242	0.0
[b|k|ɡ|m|n|t|p|d] [s]	-cont +cont,-voice,+ant	0.0005	1457	22764	3396	0.0
[f|s|k|ʃ|h|χ|t|p] [f|s|b|k|l|ʒ|ɡ|w|ʁ|m|j|n|v|χ|h|z|ʃ|t|p|d]	-voice -syllabic	0.0005	5045	21086	44006	0.0
[f|s|b|k|ʒ|ɡ|ʁ|z|χ|h|ʃ|t|p|d] [f|s|b|k|ʒ|ɡ|ʁ|m|n|z|χ|h|ʃ|t|p|d]	+cons,-nasal,-lateral +cons,-lateral	0.0005	5602	30498	37781	0.0
[s|ʒ|n|ʃ|z|t|d] [s]	+cor,-lateral +cont,-voice,+ant	0.0005	1311	18598	3396	0.0
[d|t] [l|s|z]	-son,-strid +cont,+ant	0.0005	1318	8948	7153	0.0
[f|s|b|k|ʒ|ɡ|z|χ|h|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|ʁ|m|n|z|χ|h|ʃ|t|p|d]	+cons,-son +cons	0.0005	5379	26276	40605	0.0
[f|s|b|k|ʒ|ɡ|z|χ|h|ʃ|t|p|d] [f|s|b|k|l|ʒ|ɡ|ʁ|z|χ|h|ʃ|t|p|d]	+cons,-son -nasal,+cons	0.0005	4870	26276	33322	0.0
[l|d|t] [ʃ|s|z|ʒ]	-nasal,-strid,+ant +strid	0.0005	1376	11772	5944	0.0
[f|s|b|k|l|ʒ|ɡ|ʁ|z|χ|h|ʃ|t|p|d] [f|s|b|k|ʒ|ɡ|ʁ|z|χ|h|ʃ|t|p|d]	-nasal,+cons +cons,-nasal,-lateral	0.0005	5240	33322	30498	0.0
[f|s|b|k|ʒ|ɡ|m|n|v|χ|h|z|ʃ|t|p|d] [f|s|b|k|ʒ|ɡ|ʁ|v|χ|h|z|ʃ|t|p|d]	-approx -nasal,-lateral	0.0005	5471	34852	31791	0.0
[s|t] [ʃ|s|z|ʒ]	-voice,+ant +strid	0.0005	1305	10621	5944	0.0
